candidate,votes,region,oblast
Бабурин Сергей Николаевич,24,Республика Адыгея (Адыгея),Адыгейская
Грудинин Павел Николаевич,655,Республика Адыгея (Адыгея),Адыгейская
Жириновский Владимир Вольфович,149,Республика Адыгея (Адыгея),Адыгейская
Путин Владимир Владимирович,10229,Республика Адыгея (Адыгея),Адыгейская
Собчак Ксения Анатольевна,62,Республика Адыгея (Адыгея),Адыгейская
Сурайкин Максим Александрович,16,Республика Адыгея (Адыгея),Адыгейская
Титов Борис Юрьевич,15,Республика Адыгея (Адыгея),Адыгейская
Явлинский Григорий Алексеевич,25,Республика Адыгея (Адыгея),Адыгейская
Бабурин Сергей Николаевич,201,Республика Адыгея (Адыгея),Гиагинская
Грудинин Павел Николаевич,2093,Республика Адыгея (Адыгея),Гиагинская
Жириновский Владимир Вольфович,919,Республика Адыгея (Адыгея),Гиагинская
Путин Владимир Владимирович,16789,Республика Адыгея (Адыгея),Гиагинская
Собчак Ксения Анатольевна,134,Республика Адыгея (Адыгея),Гиагинская
Сурайкин Максим Александрович,122,Республика Адыгея (Адыгея),Гиагинская
Титов Борис Юрьевич,87,Республика Адыгея (Адыгея),Гиагинская
Явлинский Григорий Алексеевич,83,Республика Адыгея (Адыгея),Гиагинская
Бабурин Сергей Николаевич,46,Республика Адыгея (Адыгея),Кошехабльская
Грудинин Павел Николаевич,599,Республика Адыгея (Адыгея),Кошехабльская
Жириновский Владимир Вольфович,218,Республика Адыгея (Адыгея),Кошехабльская
Путин Владимир Владимирович,20307,Республика Адыгея (Адыгея),Кошехабльская
Собчак Ксения Анатольевна,62,Республика Адыгея (Адыгея),Кошехабльская
Сурайкин Максим Александрович,44,Республика Адыгея (Адыгея),Кошехабльская
Титов Борис Юрьевич,30,Республика Адыгея (Адыгея),Кошехабльская
Явлинский Григорий Алексеевич,44,Республика Адыгея (Адыгея),Кошехабльская
Бабурин Сергей Николаевич,89,Республика Адыгея (Адыгея),Красногвардейская
Грудинин Павел Николаевич,1683,Республика Адыгея (Адыгея),Красногвардейская
Жириновский Владимир Вольфович,664,Республика Адыгея (Адыгея),Красногвардейская
Путин Владимир Владимирович,16078,Республика Адыгея (Адыгея),Красногвардейская
Собчак Ксения Анатольевна,93,Республика Адыгея (Адыгея),Красногвардейская
Сурайкин Максим Александрович,80,Республика Адыгея (Адыгея),Красногвардейская
Титов Борис Юрьевич,43,Республика Адыгея (Адыгея),Красногвардейская
Явлинский Григорий Алексеевич,44,Республика Адыгея (Адыгея),Красногвардейская
Бабурин Сергей Николаевич,152,Республика Адыгея (Адыгея),Майкопская 
Грудинин Павел Николаевич,3968,Республика Адыгея (Адыгея),Майкопская 
Жириновский Владимир Вольфович,1612,Республика Адыгея (Адыгея),Майкопская 
Путин Владимир Владимирович,21842,Республика Адыгея (Адыгея),Майкопская 
Собчак Ксения Анатольевна,239,Республика Адыгея (Адыгея),Майкопская 
Сурайкин Максим Александрович,218,Республика Адыгея (Адыгея),Майкопская 
Титов Борис Юрьевич,129,Республика Адыгея (Адыгея),Майкопская 
Явлинский Григорий Алексеевич,93,Республика Адыгея (Адыгея),Майкопская 
Бабурин Сергей Николаевич,474,Республика Адыгея (Адыгея),Майкопская городская
Грудинин Павел Николаевич,12554,Республика Адыгея (Адыгея),Майкопская городская
Жириновский Владимир Вольфович,3864,Республика Адыгея (Адыгея),Майкопская городская
Путин Владимир Владимирович,59833,Республика Адыгея (Адыгея),Майкопская городская
Собчак Ксения Анатольевна,955,Республика Адыгея (Адыгея),Майкопская городская
Сурайкин Максим Александрович,564,Республика Адыгея (Адыгея),Майкопская городская
Титов Борис Юрьевич,559,Республика Адыгея (Адыгея),Майкопская городская
Явлинский Григорий Алексеевич,702,Республика Адыгея (Адыгея),Майкопская городская
Бабурин Сергей Николаевич,145,Республика Адыгея (Адыгея),Тахтамукайская 
Грудинин Павел Николаевич,5017,Республика Адыгея (Адыгея),Тахтамукайская 
Жириновский Владимир Вольфович,1224,Республика Адыгея (Адыгея),Тахтамукайская 
Путин Владимир Владимирович,36866,Республика Адыгея (Адыгея),Тахтамукайская 
Собчак Ксения Анатольевна,430,Республика Адыгея (Адыгея),Тахтамукайская 
Сурайкин Максим Александрович,218,Республика Адыгея (Адыгея),Тахтамукайская 
Титов Борис Юрьевич,200,Республика Адыгея (Адыгея),Тахтамукайская 
Явлинский Григорий Алексеевич,185,Республика Адыгея (Адыгея),Тахтамукайская 
Бабурин Сергей Николаевич,14,Республика Адыгея (Адыгея),Теучежская
Грудинин Павел Николаевич,920,Республика Адыгея (Адыгея),Теучежская
Жириновский Владимир Вольфович,128,Республика Адыгея (Адыгея),Теучежская
Путин Владимир Владимирович,11190,Республика Адыгея (Адыгея),Теучежская
Собчак Ксения Анатольевна,38,Республика Адыгея (Адыгея),Теучежская
Сурайкин Максим Александрович,22,Республика Адыгея (Адыгея),Теучежская
Титов Борис Юрьевич,13,Республика Адыгея (Адыгея),Теучежская
Явлинский Григорий Алексеевич,11,Республика Адыгея (Адыгея),Теучежская
Бабурин Сергей Николаевич,20,Республика Адыгея (Адыгея),Шовгеновская
Грудинин Павел Николаевич,1222,Республика Адыгея (Адыгея),Шовгеновская
Жириновский Владимир Вольфович,145,Республика Адыгея (Адыгея),Шовгеновская
Путин Владимир Владимирович,9961,Республика Адыгея (Адыгея),Шовгеновская
Собчак Ксения Анатольевна,47,Республика Адыгея (Адыгея),Шовгеновская
Сурайкин Максим Александрович,33,Республика Адыгея (Адыгея),Шовгеновская
Титов Борис Юрьевич,12,Республика Адыгея (Адыгея),Шовгеновская
Явлинский Григорий Алексеевич,10,Республика Адыгея (Адыгея),Шовгеновская
Бабурин Сергей Николаевич,141,Республика Алтай,Горно-Алтайская городская
Грудинин Павел Николаевич,6895,Республика Алтай,Горно-Алтайская городская
Жириновский Владимир Вольфович,1592,Республика Алтай,Горно-Алтайская городская
Путин Владимир Владимирович,18110,Республика Алтай,Горно-Алтайская городская
Собчак Ксения Анатольевна,338,Республика Алтай,Горно-Алтайская городская
Сурайкин Максим Александрович,142,Республика Алтай,Горно-Алтайская городская
Титов Борис Юрьевич,122,Республика Алтай,Горно-Алтайская городская
Явлинский Григорий Алексеевич,234,Республика Алтай,Горно-Алтайская городская
Бабурин Сергей Николаевич,39,Республика Алтай,Кош-Агачская
Грудинин Павел Николаевич,1454,Республика Алтай,Кош-Агачская
Жириновский Владимир Вольфович,165,Республика Алтай,Кош-Агачская
Путин Владимир Владимирович,7390,Республика Алтай,Кош-Агачская
Собчак Ксения Анатольевна,90,Республика Алтай,Кош-Агачская
Сурайкин Максим Александрович,21,Республика Алтай,Кош-Агачская
Титов Борис Юрьевич,22,Республика Алтай,Кош-Агачская
Явлинский Григорий Алексеевич,18,Республика Алтай,Кош-Агачская
Бабурин Сергей Николаевич,75,Республика Алтай,Майминская
Грудинин Павел Николаевич,3578,Республика Алтай,Майминская
Жириновский Владимир Вольфович,1028,Республика Алтай,Майминская
Путин Владимир Владимирович,9476,Республика Алтай,Майминская
Собчак Ксения Анатольевна,130,Республика Алтай,Майминская
Сурайкин Максим Александрович,62,Республика Алтай,Майминская
Титов Борис Юрьевич,60,Республика Алтай,Майминская
Явлинский Григорий Алексеевич,82,Республика Алтай,Майминская
Бабурин Сергей Николаевич,25,Республика Алтай,Онгудайская
Грудинин Павел Николаевич,1445,Республика Алтай,Онгудайская
Жириновский Владимир Вольфович,199,Республика Алтай,Онгудайская
Путин Владимир Владимирович,5921,Республика Алтай,Онгудайская
Собчак Ксения Анатольевна,70,Республика Алтай,Онгудайская
Сурайкин Максим Александрович,30,Республика Алтай,Онгудайская
Титов Борис Юрьевич,25,Республика Алтай,Онгудайская
Явлинский Григорий Алексеевич,37,Республика Алтай,Онгудайская
Бабурин Сергей Николаевич,33,Республика Алтай,Турочакская
Грудинин Павел Николаевич,1016,Республика Алтай,Турочакская
Жириновский Владимир Вольфович,501,Республика Алтай,Турочакская
Путин Владимир Владимирович,4036,Республика Алтай,Турочакская
Собчак Ксения Анатольевна,50,Республика Алтай,Турочакская
Сурайкин Максим Александрович,28,Республика Алтай,Турочакская
Титов Борис Юрьевич,22,Республика Алтай,Турочакская
